N° du compte	Intitulé	Type de compte	A	V
1651000000	Dépôts	Détail	Décoché	Décoché
1655000000	Cautionnements	Détail	Décoché	Décoché
1660000000	Participation des salariés aux résultats	Racine	Décoché	Décoché
1661000000	Comptes bloqués	Détail	Décoché	Décoché
1662000000	Fonds de participation	Détail	Décoché	Décoché
1670000000	Emprunts et dettes assortis de conditions particulières	Racine	Décoché	Décoché
1671000000	Emissions de titres participatifs	Détail	Décoché	Décoché
1674000000	Avances conditionnées de l'Etat	Détail	Décoché	Décoché
1675000000	Emprunts participatifs	Détail	Décoché	Décoché
1680000000	Autres emprunts et dettes assimilées	Racine	Décoché	Décoché
1681000000	Autres emprunts	Détail	Décoché	Décoché
1685000000	Rentes viagères capitalisées	Détail	Décoché	Décoché
1687000000	Autres dettes	Détail	Décoché	Décoché
1688000000	Intérêts courus	Racine	Décoché	Décoché
1688100000	Sur emprunts obligataires convertibles	Détail	Décoché	Décoché
1688300000	Sur autres emprunts obligataires	Détail	Décoché	Décoché
1688400000	Sur emprunts auprès des établissements de crédit	Détail	Décoché	Décoché
1688500000	Sur dépôts et cautionnements reçus	Détail	Décoché	Décoché
1688600000	Sur participation des salariés aux résultats	Détail	Décoché	Décoché
1688700000	Sur emprunts et dettes assortis de conditions particulières	Détail	Décoché	Décoché
1688800000	Sur autres emprunts et dettes assimilées	Détail	Décoché	Décoché
1690000000	Primes de remboursement des obligations	Détail	Décoché	Décoché
17	DETTES RATTACHEES A DES PARTICIPATIONS	Racine	Décoché	Décoché
1710000000	Dettes rattachées à des participations (groupe)	Détail	Décoché	Décoché
1740000000	Dettes rattachées à des participations (hors groupe)	Détail	Décoché	Décoché
1780000000	Dettes rattachées à des sociétés en participation	Racine	Décoché	Décoché
1781000000	Principal	Détail	Décoché	Décoché
1788000000	Intérêts courus	Détail	Décoché	Décoché
18	COMPTES DE LIAISON DES ETABLISS. ET STES EN PARTICIPATION	Racine	Décoché	Décoché
1810000000	Comptes de liaison des établissements	Détail	Décoché	Décoché
1860000000	Biens et prestations échangés entre établiss. (charges)	Détail	Décoché	Décoché
1870000000	Biens et prestations échangés entre établiss. (produits)	Détail	Décoché	Décoché
1880000000	Comptes de liaison des sociétés en participation	Détail	Décoché	Décoché
2	COMPTES D'IMMOBILISATIONS	Racine	Décoché	Décoché
20	IMMOBILISATIONS INCORPORELLES	Racine	Décoché	Décoché
2010000000	Frais d’établissement	Racine	Décoché	Décoché
2011000000	Frais de constitution	Détail	Décoché	Décoché
2012000000	Frais de premier établissement	Racine	Décoché	Décoché
2012100000	Frais de prospection	Détail	Décoché	Décoché
2012200000	Frais de publicité	Détail	Décoché	Décoché
2013000000	Frais d'augmentation de capital et d'opérations diverses	Détail	Décoché	Décoché
2030000000	Frais de recherche et de développement	Détail	Décoché	Décoché
2050000000	Concessions et droits similaires, brevets, licences, marques	Détail	Décoché	Décoché
2060000000	Droit au bail	Détail	Décoché	Décoché
2070000000	Fonds commercial	Détail	Décoché	Décoché
2080000000	Autres immobilisations incorporelles	Détail	Décoché	Décoché
21	IMMOBILISATIONS CORPORELLES	Racine	Décoché	Décoché
2110000000	Terrains	Racine	Décoché	Décoché
2111000000	Terrains nus	Détail	Coché	Décoché
2112000000	Terrains aménagés	Détail	Coché	Décoché
2113000000	Sous-sols et sur-sols	Détail	Décoché	Décoché
2114000000	Terrains de gisement	Racine	Décoché	Décoché
2114100000	Carrières	Détail	Décoché	Décoché
2115000000	Terrains bâtis	Racine	Décoché	Décoché
2115100000	Ensembles immobiliers industriels (A, B...)	Détail	Décoché	Décoché
2115500000	Ensembles immobiliers administratifs et commerciaux (A, B...	Détail	Décoché	Décoché
2115800000	Autres ensembles immobiliers	Racine	Décoché	Décoché
2115810000	Affectés aux opérations professionnelles (A, B ...)	Détail	Décoché	Décoché
2115880000	Affectés aux opérations non professionnelles (A, B ...)	Détail	Décoché	Décoché
2116000000	Comptes d'ordre sur immobilisations	Détail	Décoché	Décoché
2120000000	Agencements et aménagements de terrains	Détail	Décoché	Décoché
2130000000	Constructions	Racine	Décoché	Décoché
2131000000	Bâtiments	Racine	Décoché	Décoché
2131100000	Ensembles immobiliers industriels (A, B...)	Détail	Décoché	Décoché
2131500000	Ensembles immobiliers administratifs et commerciaux (A,B..)	Détail	Décoché	Décoché
2131800000	Autres ensembles immobiliers	Racine	Décoché	Décoché
2131810000	Affectés aux opérations professsionnelles (A, B ...)	Détail	Décoché	Décoché
2131880000	Affectés aux opérations non professionnelles (A, B ...)	Détail	Décoché	Décoché
2135000000	Installations générales, agencements, aménagements	Détail	Décoché	Décoché
2138000000	Ouvrages d'infrastructure	Racine	Décoché	Décoché
2138100000	Voies de terre	Détail	Décoché	Décoché
2138200000	Voies de fer	Détail	Décoché	Décoché
2138300000	Voies d'eau	Détail	Décoché	Décoché
2138400000	Barrages	Détail	Décoché	Décoché
2138500000	Pistes d'aérodromes	Détail	Décoché	Décoché
2140000000	Constructions sur sol d’autrui	Détail	Décoché	Décoché
2150000000	Installations techniques, matériels et outillages industriel	Racine	Décoché	Décoché
2151000000	Installations complexes spécialisées	Racine	Décoché	Décoché
2151100000	Installations complexes spécialisées sur sol propre	Détail	Décoché	Décoché
2151400000	Installations complexes spécialisées sur sol d'autrui	Détail	Décoché	Décoché
2153000000	Installations à caractère spécifique	Racine	Décoché	Décoché
2153100000	Installations à caractère spécifique sur sol propre	Détail	Décoché	Décoché
2153400000	Installations à caractère spécifique sur sol d'autrui	Détail	Décoché	Décoché
2154000000	Matériel industriel	Détail	Décoché	Décoché
2155000000	Outillage industriel	Détail	Décoché	Décoché
2157000000	Agencements et aménagements du matériel et outillages indust	Détail	Décoché	Décoché
2180000000	Autres immobilisations corporelles	Racine	Décoché	Décoché
2181000000	INST.AGENC.DIVERS	Détail	Coché	Décoché
2182000000	Matériel de transport	Détail	Coché	Décoché
2183000000	MAT.BUREAU & INFORMA	Détail	Coché	Décoché
2184000000	Mobilier	Détail	Coché	Décoché
2185000000	Cheptel	Détail	Décoché	Décoché
2186000000	Emballages récupérables	Détail	Décoché	Décoché
22	IMMOBILISATIONS MISES EN CONCESSION	Racine	Décoché	Décoché
23	IMMOBILISATlONS EN COURS	Racine	Décoché	Décoché
2310000000	Immobilisations corporelles en cours	Racine	Décoché	Décoché
2312000000	Terrains	Détail	Décoché	Décoché
2313000000	Constructions	Détail	Décoché	Décoché
2315000000	Installations techniques, matériel et outillage industriels	Détail	Décoché	Décoché
2318000000	En cours autr immob corporelle	Détail	Décoché	Décoché
2320000000	Immobilisations incorporelles en cours	Détail	Décoché	Décoché
2370000000	Avances et acomptes versés sur immobilisations incorporelles	Détail	Décoché	Décoché
2380000000	Avances et acomptes versés sur immobilisations corporelles	Racine	Décoché	Décoché
2382000000	Terrains	Détail	Décoché	Décoché
2383000000	Constructions	Détail	Décoché	Décoché
2385000000	Installations techniques, matériel et outillage industriels	Détail	Décoché	Décoché
2388000000	Autres immobilisations corporelles	Détail	Décoché	Décoché
25	PARTS DANS DES ENTREPRISES LIEES ET CREANCES RATTACHEES	Racine	Décoché	Décoché
26	PARTICIPATIONS ET CREANCES RATTACHEES A DES PARTICIPATIONS	Racine	Décoché	Décoché
2610000000	Titres de participation	Racine	Décoché	Décoché
2611000000	Actions	Détail	Décoché	Décoché
2618000000	Autres titres	Détail	Décoché	Décoché
2660000000	Autres formes de participation	Détail	Décoché	Décoché
2670000000	Créances rattachées à des participations	Racine	Décoché	Décoché
2671000000	Créances rattachées à des participations (groupe)	Détail	Décoché	Décoché
2674000000	Créances rattachées à des participations (hors groupe)	Détail	Décoché	Décoché
2675000000	Versements représentatifs d'apports non capitalisés	Détail	Décoché	Décoché
2676000000	Avances consolidables	Détail	Décoché	Décoché
2677000000	Autres créances rattachées à des participations	Détail	Décoché	Décoché
2678000000	Intérêts courus	Détail	Décoché	Décoché
2680000000	Créances rattachées à des sociétés en participation	Racine	Décoché	Décoché
2681000000	Principal	Détail	Décoché	Décoché
2688000000	Intérêts courus	Détail	Décoché	Décoché
2690000000	Versements restant sur titres de participation non libérés	Détail	Décoché	Décoché
27	AUTRES IMMOBILISATIONS FINANCIERES	Racine	Décoché	Décoché
2710000000	Titres immobilisés (droit de propriété)	Racine	Décoché	Décoché
2711000000	Actions	Détail	Décoché	Décoché
2718000000	Autres titres	Détail	Décoché	Décoché
2720000000	Titres immobilisés (droit de créance)	Racine	Décoché	Décoché
2721000000	Obligations	Détail	Décoché	Décoché
2722000000	Bons	Détail	Décoché	Décoché
2730000000	Titres immobilisés de l'activité de portefeuille	Détail	Décoché	Décoché
2740000000	Prêts	Racine	Décoché	Décoché
2741000000	Prêts participatifs	Détail	Décoché	Décoché
2742000000	Prêts aux associés	Détail	Décoché	Décoché
2743000000	Prêts au personnel	Détail	Décoché	Décoché
2748000000	Autres prêts	Détail	Décoché	Décoché
2750000000	Dépôt et cautionnement versés	Détail	Coché	Décoché
2751000000	Dépôts	Détail	Décoché	Décoché
2755000000	Cautionnements	Détail	Décoché	Décoché
2760000000	Autres créances immobilisées	Racine	Décoché	Décoché
2761000000	Créances diverses	Détail	Décoché	Décoché
2768000000	Intérêts courus	Racine	Décoché	Décoché
2768200000	Sur titres immobilisés (droit de créance)	Détail	Décoché	Décoché
2768400000	Sur prêts	Détail	Décoché	Décoché
2768500000	Sur dépôts et cautionnements	Détail	Décoché	Décoché
2768800000	Sur créances diverses	Détail	Décoché	Décoché
2770000000	Actions propres ou parts propres	Racine	Décoché	Décoché
2771000000	Actions propres ou parts propres	Détail	Décoché	Décoché
2772000000	Actions propres ou parts propres en voie d'annulation	Détail	Décoché	Décoché
2790000000	Versements restant sur titres immobilisés non libérés	Détail	Décoché	Décoché
28	AMORTISSEMENTS DES IMMOBILISATIONS	Racine	Décoché	Décoché
2800000000	Amortissements des immobilisations incorporelles	Racine	Décoché	Décoché
2801000000	Frais d'établissement	Détail	Décoché	Décoché
2803000000	Frais de recherche et de développement	Détail	Décoché	Décoché
2805000000	Concessions et droits similaires, brevets, licences, droits	Détail	Décoché	Décoché
2807000000	Fonds commercial	Détail	Décoché	Décoché
2808000000	Autres immobilisations incorporelles	Détail	Décoché	Décoché
2810000000	Amortissements des immobilisations corporelles	Racine	Décoché	Décoché
2811000000	Terrains de gisement	Détail	Décoché	Décoché
2812000000	Agencements, aménagements de terrains	Détail	Décoché	Décoché
2813000000	Constructions	Détail	Décoché	Décoché
2814000000	Constructions sur sol d'autrui	Détail	Décoché	Décoché
2815000000	Installations techniques, matériel et outillage industriels	Détail	Décoché	Décoché
2818000000	Autres immobilisations corporelles	Détail	Décoché	Décoché
2818100000	AMORT.INST.AGENC.DIV	Détail	Coché	Décoché
2818300000	AMORT.MAT.BUREAU & I	Détail	Coché	Décoché
2820000000	Amortissements des immobilisations mises en concession	Détail	Décoché	Décoché
29	DEPRECIATIONS DES IMMOBILISATIONS	Racine	Décoché	Décoché
2900000000	Dépréciations des immobilisations incorporelles	Racine	Décoché	Décoché
2905000000	Marques, procédes, droits et valeurs similaires	Détail	Décoché	Décoché
2906000000	Droit au bail	Détail	Décoché	Décoché
2907000000	Fonds commercial	Détail	Décoché	Décoché
2908000000	Autres immobilisations incorporelles	Détail	Décoché	Décoché
2910000000	Dépréciations des immobilisations corporelles	Racine	Décoché	Décoché
2911000000	Terrains (autres que terrains de gisement)	Détail	Décoché	Décoché
2920000000	Dépréciations des immobilisations mises en concession	Détail	Décoché	Décoché
2930000000	Dépréciations des immobilisations en cours	Racine	Décoché	Décoché
2931000000	Immobilisations corporelles en cours	Détail	Décoché	Décoché
2932000000	Immobilisations incorporelles en cours	Détail	Décoché	Décoché
2960000000	Dépréciations des participations et créances rattachées	Racine	Décoché	Décoché
2961000000	Titres de participation	Détail	Décoché	Décoché
2966000000	Autres formes de participation	Détail	Décoché	Décoché
2967000000	Créances rattachées à des participations	Détail	Décoché	Décoché
2968000000	Créances rattachées à des sociétés en participation	Détail	Décoché	Décoché
2970000000	Dépréciation des autres immobilisations financières	Racine	Décoché	Décoché
2971000000	Titres immobilisés - droit de propriété	Détail	Décoché	Décoché
2972000000	Titres immobilisés - droit de créance	Détail	Décoché	Décoché
2973000000	Titres immobilisés de l'activité portefeuille	Détail	Décoché	Décoché
2974000000	Prêts	Détail	Décoché	Décoché
2975000000	Dépôts et cautionnements versés	Détail	Décoché	Décoché
2976000000	Autres créances immobilisées	Détail	Décoché	Décoché
3	COMPTES DE STOCKS ET D'EN-COURS	Racine	Décoché	Décoché
31	MATIERES PREMIERES (ET FOURNITURES)	Racine	Décoché	Décoché
3110000000	Matières (ou groupe) A	Détail	Décoché	Décoché
3120000000	Matières (ou groupe) B	Détail	Décoché	Décoché
3170000000	Fournitures A, B, C, ...	Détail	Décoché	Décoché
32	AUTRES APPROVISONNEMENTS	Racine	Décoché	Décoché
3210000000	Matières consommables	Racine	Décoché	Décoché
3211000000	Matières (ou groupe) C	Détail	Décoché	Décoché
3212000000	Matières (ou groupe) D	Détail	Décoché	Décoché
3220000000	Fournitures consommables	Racine	Décoché	Décoché
3221000000	Combustibles	Détail	Décoché	Décoché
3222000000	Produits d'entretien	Détail	Décoché	Décoché
3223000000	Fournitures d'atelier et d'usine	Détail	Décoché	Décoché
3224000000	Fournitures de magasin	Détail	Décoché	Décoché
3225000000	Fournitures de bureau	Détail	Décoché	Décoché
3260000000	Emballages	Détail	Décoché	Décoché
3261000000	Emballages perdus	Détail	Décoché	Décoché
3265000000	Emballages récupérables non identifiables	Détail	Décoché	Décoché
3267000000	Emballages à usage mixte	Détail	Décoché	Décoché
33	EN-COURS DE PRODUCTION DE BIENS	Racine	Décoché	Décoché
3310000000	Produits en cours	Racine	Décoché	Décoché
3311000000	Produits en cours P1	Détail	Décoché	Décoché
3312000000	Produits en cours P2	Détail	Décoché	Décoché
3350000000	Travaux en cours	Racine	Décoché	Décoché
3351000000	Travaux en cours T1	Détail	Décoché	Décoché
3352000000	Travaux en cours T2	Détail	Décoché	Décoché
34	EN-COURS DE PRODUCTION DE SERVICES	Racine	Décoché	Décoché
3410000000	Etudes en cours	Racine	Décoché	Décoché
3411000000	Etudes en cours E1	Détail	Décoché	Décoché
3412000000	Etudes en cours E2	Détail	Décoché	Décoché
3450000000	Prestations de services en cours	Racine	Décoché	Décoché
3451000000	Prestations de services P1	Détail	Décoché	Décoché
3452000000	Prestations de services P2	Détail	Décoché	Décoché
35	STOCKS DE PRODUITS	Racine	Décoché	Décoché
3510000000	Produits intermédiaires	Racine	Décoché	Décoché
3511000000	Produits intermédiaires (ou groupe) A	Détail	Décoché	Décoché
3512000000	Produits intermédiaires (ou groupe) B	Détail	Décoché	Décoché
3550000000	Produits finis	Détail	Décoché	Décoché
3551000000	Produits finis (ou groupe) A	Détail	Décoché	Décoché
3552000000	Produits finis (ou groupe) B	Détail	Décoché	Décoché
3580000000	Produits résiduels (ou matières de récupération)	Racine	Décoché	Décoché
3581000000	Déchets	Détail	Décoché	Décoché
3585000000	Rebuts	Détail	Décoché	Décoché
3586000000	Matières de récupération	Détail	Décoché	Décoché
36	Stock provenant d'immobilisations	Racine	Décoché	Décoché
37	STOCKS DE MARCHANDISES	Racine	Décoché	Décoché
3710000000	Marchandises (ou groupe) A	Détail	Décoché	Décoché
3720000000	Marchandises (ou groupe) B	Détail	Décoché	Décoché
38	STOCK EN VOIE D'ACHEMINEMENT, MIS EN DEPOT OU CONSIGNES	Racine	Décoché	Décoché
39	DEPRECIATIONS DES STOCKS ET EN-COURS	Racine	Décoché	Décoché
3910000000	Dépréciations des matières premières	Racine	Décoché	Décoché
3911000000	Matières (ou groupe) A	Détail	Décoché	Décoché
3912000000	Matières (ou groupe) B	Détail	Décoché	Décoché
3917000000	Fournitures A, B, C, ...	Détail	Décoché	Décoché
3920000000	Dépréciations des autres approvisionnements	Racine	Décoché	Décoché
3921000000	Matières consommables	Détail	Décoché	Décoché
3922000000	Fournitures consommables	Détail	Décoché	Décoché
3926000000	Emballages	Détail	Décoché	Décoché
3930000000	Dépréciations en-cours de production de biens	Racine	Décoché	Décoché
3931000000	Produits en cours	Détail	Décoché	Décoché
3935000000	Travaux en cours	Détail	Décoché	Décoché
3940000000	Dépréciations en-cours de production de services	Racine	Décoché	Décoché
3941000000	Etudes en cours	Détail	Décoché	Décoché
3945000000	Prestations de services en cours	Détail	Décoché	Décoché
3950000000	Dépréciations des stocks de produits	Racine	Décoché	Décoché
3951000000	Produits intermédiaires	Détail	Décoché	Décoché
3955000000	Produits finis	Détail	Décoché	Décoché
3970000000	Dépréciations des stocks de marchandises	Racine	Décoché	Décoché
3971000000	Marchandises (ou groupe) A	Détail	Décoché	Décoché
3972000000	Marchandises (ou groupe) B	Détail	Décoché	Décoché
4	COMPTES DE TIERS	Racine	Décoché	Décoché
40	FOURNISSEURS ET COMPTES RATTACHES	Racine	Décoché	Décoché
400	Fournisseurs et comptes rattachés	Racine	Décoché	Décoché
401	Fournisseurs	Racine	Décoché	Décoché
4011	Fournisseurs - Achats de biens et prestations de services	Détail	Décoché	Décoché
4017	Fournisseurs - Retenues de garantie	Détail	Décoché	Décoché
403	Fournisseurs - Effets à payer	Détail	Décoché	Décoché
404	Fournisseurs d'immobilisations	Racine	Décoché	Décoché
4041	Fournisseurs - Achats d'immobilisations	Détail	Décoché	Décoché
4047	Fournisseurs d'immobilisations - Retenues de garantie	Détail	Décoché	Décoché
405	Fournisseurs d'immobilisations - Effets à payer	Détail	Décoché	Décoché
408	Fournisseurs - Factures non parvenues	Racine	Décoché	Décoché
4081	Fournisseurs	Détail	Décoché	Décoché
4084	Fournisseurs d'immobilisations	Détail	Décoché	Décoché
4088	Fournisseurs - Intérêts courus	Détail	Décoché	Décoché
409	Fournisseurs débiteurs	Racine	Décoché	Décoché
4091	Fournisseurs - Avances et acomptes versés sur commandes	Détail	Décoché	Décoché
4096	Fournisseurs - Créances pour emballages et matériel à rendre	Détail	Décoché	Décoché
4097	Fournisseurs - Autres avoirs	Racine	Décoché	Décoché
40971	Fournisseurs d'exploitation	Détail	Décoché	Décoché
40974	Fournisseurs d'immobilisations	Détail	Décoché	Décoché
4098	Rabais, remises, ristournes à obtenir et autres avoirs	Détail	Décoché	Décoché
41	CLIENTS ET COMPTES RATTACHES	Racine	Décoché	Décoché
410	Clients et comptes rattachés	Racine	Décoché	Décoché
411	Clients	Racine	Décoché	Décoché
4111	Clients - Ventes de biens ou de prestations de services	Détail	Décoché	Décoché
4117	Clients - Retenues de garantie	Détail	Décoché	Décoché
413	Clients - Effets à recevoir	Détail	Décoché	Décoché
416	Clients douteux ou litigieux	Détail	Décoché	Décoché
418	Clients - Produits non encore facturés	Racine	Décoché	Décoché
4181	Clients - Factures à établir	Détail	Décoché	Décoché
4188	Clients - Intérêts courus	Détail	Décoché	Décoché
419	Clients créditeurs	Racine	Décoché	Décoché
4191	Clients - Avances et acomptes reçus sur commandes	Détail	Décoché	Décoché
4196	Clients - Dettes pour emballages et matériels consignés	Détail	Décoché	Décoché
4197	Clients - Autres avoirs	Détail	Décoché	Décoché
4198	Rabais, remises, ristournes à accorder et autres avoirs	Détail	Décoché	Décoché
42	PERSONNEL ET COMPTES RATTACHES	Racine	Décoché	Décoché
4210000000	Personnel - Rémunérations dues	Détail	Décoché	Décoché
4220000000	Comités d'entreprises, d'établissement...	Détail	Décoché	Décoché
4240000000	Participation des salariés aux résultats	Racine	Décoché	Décoché
4246000000	Réserve spéciale (art. L442-2 du Code du Travail)	Détail	Décoché	Décoché
4248000000	Comptes courants	Détail	Décoché	Décoché
4250000000	Personnel - Avances et acomptes	Détail	Décoché	Décoché
4260000000	Personnel - Dépôts	Détail	Décoché	Décoché
4270000000	Personnel - Oppositions	Détail	Décoché	Décoché
4280000000	Personnel - Charges à payer et produits à recevoir	Racine	Décoché	Décoché
4282000000	Dettes provisionnées pour congés à payer	Détail	Décoché	Décoché
4284000000	Dettes provisionnées pour participation des salariés	Détail	Décoché	Décoché
4286000000	Autres charges à payer	Détail	Décoché	Décoché
4287000000	Produits à recevoir	Détail	Décoché	Décoché
43	SECURITE SOCIALE ET AUTRES ORGANISMES SOCIAUX	Racine	Décoché	Décoché
4310000000	Sécurité sociale	Détail	Décoché	Décoché
4370000000	Autres organismes sociaux	Racine	Décoché	Décoché
4372000000	Mutuelle	Détail	Décoché	Décoché
4373000000	Caisses Retraites	Détail	Décoché	Décoché
4374000000	Assedic	Détail	Décoché	Décoché
4380000000	Organismes sociaux - Charges à payer et produits à recevoir	Racine	Décoché	Décoché
4382000000	Charges sociales sur congés à payer	Détail	Décoché	Décoché
4386000000	Autres charges à payer	Détail	Décoché	Décoché
4387000000	Produits à recevoir	Détail	Décoché	Décoché
44	ETAT ET AUTRES COLLECTIVITES PUBLIQUES	Racine	Décoché	Décoché
4410000000	Etat - Subventions à recevoir	Racine	Décoché	Décoché
4411000000	Subventions d'investissement	Détail	Coché	Décoché
4417000000	Subventions d'exploitation	Détail	Coché	Décoché
4418000000	Subventions d'équilibre	Détail	Coché	Décoché
4419000000	Avances sur subventions	Détail	Coché	Décoché
4420000000	Etat - Impôts et taxes recouvrables sur des tiers	Racine	Décoché	Décoché
4424000000	Obligataires	Détail	Décoché	Décoché
4425000000	Associés	Détail	Décoché	Décoché
4430000000	Opérations particulières avec l'Etat, les collectivités	Racine	Décoché	Décoché
4431000000	Créances sur l'Etat suppression décalage un mois sur TVA	Détail	Décoché	Décoché
